title,words,date,year,categories,seo_score,focus_keyword,url,slug,orig_url,blog_url,orig_status,orig_final_url,blog_status,blog_final_url,checked
Elementor #11226,0,1969-12-31,1969,All Blogs,,,https://legalsuvidha.com/elementor-11226/,elementor-11226,https://legalsuvidha.com/elementor-11226/,https://legalsuvidha.com/blog/elementor-11226/,ERROR,"HTTPSConnectionPool(host='legalsuvidha.com', port=443): Read timed out. (read timeout=12)",200,https://legalsuvidha.com/blog/elementor-11226/,yes
How to register a Company in India,0,1998-12-31,1998,All Blogs,,,https://legalsuvidha.com/how-to-register-a-company-in-india/,how-to-register-a-company-in-india,https://legalsuvidha.com/how-to-register-a-company-in-india/,https://legalsuvidha.com/blog/how-to-register-a-company-in-india/,ERROR,"HTTPSConnectionPool(host='legalsuvidha.com', port=443): Read timed out. (read timeout=12)",200,https://legalsuvidha.com/blog/how-to-register-a-company-in-india/,yes
"How Startups Can Use AI Agents for GST, TDS & ROC Filing",12,1970-01-01,1970,All Blogs,,,https://legalsuvidha.com/?p=7185,,https://legalsuvidha.com/?p=7185,https://legalsuvidha.com/blog/,ERROR,"HTTPSConnectionPool(host='legalsuvidha.com', port=443): Read timed out. (read timeout=12)",200,https://legalsuvidha.com/blogs/,yes
Understanding eForm GNL-2,208,2024-01-04,2024,All Blogs,,,https://legalsuvidha.com/understanding-eform-gnl-2/,understanding-eform-gnl-2,https://legalsuvidha.com/understanding-eform-gnl-2/,https://legalsuvidha.com/blog/understanding-eform-gnl-2/,ERROR,"HTTPSConnectionPool(host='legalsuvidha.com', port=443): Read timed out. (read timeout=12)",200,https://legalsuvidha.com/blog/understanding-eform-gnl-2/,yes
Submitting GSTR-1 in GST Portal,239,2022-04-27,2022,GST,,,https://legalsuvidha.com/gstn-ease-of-submitting-gstr-1-in-gst-portal/,gstn-ease-of-submitting-gstr-1-in-gst-portal,https://legalsuvidha.com/gstn-ease-of-submitting-gstr-1-in-gst-portal/,https://legalsuvidha.com/blog/gstn-ease-of-submitting-gstr-1-in-gst-portal/,ERROR,"HTTPSConnectionPool(host='legalsuvidha.com', port=443): Read timed out. (read timeout=12)",200,https://legalsuvidha.com/blog/gstn-ease-of-submitting-gstr-1-in-gst-portal/,yes
CBDT Amends Rule 17CB,281,2022-08-24,2022,Income Tax,,,https://legalsuvidha.com/cbdt-amends-rule-17cb-to-replace-the-words-trust-or-institution-with-specified-person/,cbdt-amends-rule-17cb-to-replace-the-words-trust-or-institution-with-specified-person,https://legalsuvidha.com/cbdt-amends-rule-17cb-to-replace-the-words-trust-or-institution-with-specified-person/,https://legalsuvidha.com/blog/cbdt-amends-rule-17cb-to-replace-the-words-trust-or-institution-with-specified-person/,ERROR,"HTTPSConnectionPool(host='legalsuvidha.com', port=443): Read timed out. (read timeout=12)",ERROR,"ReadTimeout(ReadTimeoutError(""HTTPSConnectionPool(host='legalsuvidha.com', port=443): Read timed out. (read timeout=60)""))",yes
Reduction in fees for Annual returns,288,2022-04-24,2022,Corporate Law,,,https://legalsuvidha.com/drastic-reduction-in-additional-fees-for-filing-of-annual-returns-of-llp/,drastic-reduction-in-additional-fees-for-filing-of-annual-returns-of-llp,https://legalsuvidha.com/drastic-reduction-in-additional-fees-for-filing-of-annual-returns-of-llp/,https://legalsuvidha.com/blog/drastic-reduction-in-additional-fees-for-filing-of-annual-returns-of-llp/,ERROR,"HTTPSConnectionPool(host='legalsuvidha.com', port=443): Read timed out. (read timeout=12)",200,https://legalsuvidha.com/blog/drastic-reduction-in-additional-fees-for-filing-of-annual-returns-of-llp/,yes
ITC CANNOT BE CLAIMED ON IE,303,2021-11-05,2021,GST,,,https://legalsuvidha.com/input-tax-credit-cannot-be-claimed-on-indirect-expenses-2/,input-tax-credit-cannot-be-claimed-on-indirect-expenses-2,https://legalsuvidha.com/input-tax-credit-cannot-be-claimed-on-indirect-expenses-2/,https://legalsuvidha.com/blog/input-tax-credit-cannot-be-claimed-on-indirect-expenses-2/,ERROR,"HTTPSConnectionPool(host='legalsuvidha.com', port=443): Read timed out. (read timeout=12)",200,https://legalsuvidha.com/blog/input-tax-credit-cannot-be-claimed-on-indirect-expenses-2/,yes
Prevention of Sexual Harassment (POSH) Policy,304,2024-12-06,2024,All Blogs,,,https://legalsuvidha.com/prevention-of-sexual-harassment-posh-policy/,prevention-of-sexual-harassment-posh-policy,https://legalsuvidha.com/prevention-of-sexual-harassment-posh-policy/,https://legalsuvidha.com/blog/prevention-of-sexual-harassment-posh-policy/,ERROR,"HTTPSConnectionPool(host='legalsuvidha.com', port=443): Read timed out. (read timeout=12)",200,https://legalsuvidha.com/blog/prevention-of-sexual-harassment-posh-policy/,yes
Understanding Form ADT-3: Auditor Resignation Statement,309,2024-01-08,2024,All Blogs,,,https://legalsuvidha.com/understanding-form-adt-3-auditor-resignation-statement/,understanding-form-adt-3-auditor-resignation-statement,https://legalsuvidha.com/understanding-form-adt-3-auditor-resignation-statement/,https://legalsuvidha.com/blog/understanding-form-adt-3-auditor-resignation-statement/,ERROR,"HTTPSConnectionPool(host='legalsuvidha.com', port=443): Read timed out. (read timeout=12)",200,https://legalsuvidha.com/blog/understanding-form-adt-3-auditor-resignation-statement/,yes
Distinguishing Between Public and Private Companies in India,311,2024-01-05,2024,All Blogs,,,https://legalsuvidha.com/distinguishing-between-public-and-private-companies-in-india/,distinguishing-between-public-and-private-companies-in-india,https://legalsuvidha.com/distinguishing-between-public-and-private-companies-in-india/,https://legalsuvidha.com/blog/distinguishing-between-public-and-private-companies-in-india/,ERROR,"HTTPSConnectionPool(host='legalsuvidha.com', port=443): Read timed out. (read timeout=12)",200,https://legalsuvidha.com/blog/distinguishing-between-public-and-private-companies-in-india/,yes
Convertible Debt: A Hybrid Financing Instrument in India,311,2024-12-02,2024,All Blogs,,,https://legalsuvidha.com/convertible-debt-a-hybrid-financing-instrument-in-india/,convertible-debt-a-hybrid-financing-instrument-in-india,https://legalsuvidha.com/convertible-debt-a-hybrid-financing-instrument-in-india/,https://legalsuvidha.com/blog/convertible-debt-a-hybrid-financing-instrument-in-india/,ERROR,"HTTPSConnectionPool(host='legalsuvidha.com', port=443): Read timed out. (read timeout=12)",ERROR,"ReadTimeout(ReadTimeoutError(""HTTPSConnectionPool(host='legalsuvidha.com', port=443): Read timed out. (read timeout=60)""))",yes
FSSAI Registration for Home Bakers: A Comprehensive Guide,312,2024-01-06,2024,All Blogs,,,https://legalsuvidha.com/fssai-registration-for-home-bakers-a-comprehensive-guide/,fssai-registration-for-home-bakers-a-comprehensive-guide,https://legalsuvidha.com/fssai-registration-for-home-bakers-a-comprehensive-guide/,https://legalsuvidha.com/blog/fssai-registration-for-home-bakers-a-comprehensive-guide/,ERROR,"HTTPSConnectionPool(host='legalsuvidha.com', port=443): Read timed out. (read timeout=12)",200,https://legalsuvidha.com/blog/fssai-registration-for-home-bakers-a-comprehensive-guide/,yes
IAS-2: Inventories,327,2023-08-19,2023,Accounting,,,https://legalsuvidha.com/ias-2-inventories/,ias-2-inventories,https://legalsuvidha.com/ias-2-inventories/,https://legalsuvidha.com/blog/ias-2-inventories/,ERROR,"HTTPSConnectionPool(host='legalsuvidha.com', port=443): Read timed out. (read timeout=12)",200,https://legalsuvidha.com/blog/ias-2-inventories/,yes
